"","x"
"1","I am using this controller for Sous Vide Cooking & I love it.  It has proven to do the job very well.  I protect the temperature probe from the water by using a length of 3/8"" soft copper tubing which is pinched and soldered shut on the bottom end.  That allows the probe to sense the temperature without a lag.This unit has allowed me to experience Sous Vide cooking at a low cost because I use it in conjunction with an ordinary 7 quart crock pot.  I gave it four stars only because the instructions are not user friendly.  To help others I have posted photos of the interior mechanism on whysousvide.com.  The photos clearly show where the jumpers are and how to move one of them to use it to control a heating unit rather than a refrigerator.  It's quite simple once you know how.  I also like the long wires as they allow plenty of room to move things around on the counter top.I highly recommend it."
"2","I use this to keep my beer nice and cold inside of a chest freezer. This thing works like a charm.I initially had it simply sitting in the freezer, but I soon realized that the beer was warmer that I needed it to be. I figured out that measuring the air temperature was not the way to go.I wrapped the temperature probe in plastic and submerged it in a bottle of water so that it actually uses the temperature of the liquid instead of the internal air temperature. This allows me to regulate the temperature of the freezer by how cold the liquid is, not how cold the air is.The way that it controls the temperature is by allowing the unit to switch on when it rises above the desired temperature and completely cutting off the electricity when it reaches or falls below the set temperature. Keep this in mind as any lights associated with fridges or freezers will only work when the unit allows power to go to your device."
"3","I purchased this control as an alternative to the stc-1000 controllers that are popular. By the time I would have purchased the stc, along with a project enclosure, switch, fuse, cords, strain relief, I would have had almost as much into it as this unit which was all ready to go. Plus, I would have needed to build it. I needed fahrenheit scale, which this controller has. The directions are written in native english, not chinglish, so are easy to follow. Set up is simple. Two screws open the housing. Then you place the jumper in either the heating or cooling position. You can choose settings easily by hitting ""mode"", and scrolling to the correct parameter with the arrow buttons. You can set temp differential, anti short-cycling time, pre cut off/cut in temps, and of of course cut in and cut off temps. I have this unit hooked up to an ultrasonic cleaner to control its tank heater, and it works really well. The enclosure has four keyhole type screw holes/slots in the back for mounting. This might not apply to you, but keep in mind this is not designed for washdown applications, i.e. it's not water proof. I understand that Johnson does make a unit that is, though."
"4","This unit worked great while it lasted--all 5 months. We used it to convert our chest freezer into a refrigerator for homebrew. I purchased the unit in January 2015, but didn't actually use it until January 2016. It died the end of June. We attempted to contact the manufacturer to see if the warranty was still good and they were extremely rude and unhelpful.A power surge during a storm killed it, lesson learned--plug it into a surge protector. If the customer service had been nicer or more helpful I would have given it more stars but I have never been treated that awful by someone in the goods business. My husband even tried the next day and were equally as awful and unhelpful.Unit=5 starsCustomer service=1 star"
"5","I've been using the Johnson controller for years to convert a chest freezer to a fermentation chamber. I use it year-round for fermenting sake, lagers, and in the summer, ales - so anywhere within the 47-65 degree region. The directions are very straightforward and aside from having to use a screwdriver now and again if you need to change from a cooling device to a heating device, it's very simple to operate. The probe cord is thin enough to allow me to simply slip it over the edge and shut the lid. I haven't found a need to drill a hole.Be mindful that the probe can give off misleading temperatures if it comes into contact with the walls of the freezer or refrigerator. Also the air at the bottom will always be cooler. I arrange the probe so that it comes into contact with the side of my bucket or carboy at  mid-height.I also set the temperature closer to the top of the temperature range (for an ale that prefers temperatures between 62-67, I'll set the controller for 66 or 67. The reason is when the controller reads that ""turn on"" temperature, and the freezer or refrigerator kicks on, it always quickly drops the temperature about 5 degrees before opening the circuit again. The temperature will remain at the colder temperature a good bit longer than it will at the higher temperature."
"6","The first thing you have to do when you get this thing is to open it up and change the jumpers around a little bit, so that it measures heating and not cooling.  This is literally like a 5 minute process.  One or two screws on the back, then both jumpers on.  Check the instructions though.After changing the module from cooling to heating, you have to find something to plug into the temperature controlled outlet.  At first, I used a crock pot, but it took a little too long to heat the water, so I switched to a regular pot, and I bought this cheap water heater: http://smile.amazon.com/NORPRO-559-Immersion-Warming-Liquids/dp/B000I8VE68/ref=sr_1_2?s=hi&ie=UTF8&qid=1391783831&sr=1-2&keywords=Water+HeaterThe water heater is a little bit annoying, but it works okay, in addition to putting the stove on low.  I'd probably spend a little more to get a better water heater next time.Another tip is to try to get the water to your desired temperature before starting everything up.  It'll save a little time.  That's really about it.With the Sous Vide Supreme selling for a little over $200 these days, if I had to do this again, I'd probably just buy the Sous Vide Supreme instead of this home made gadget.  I guess the only ""pro"" about this thing versus a sous vide machine is that it's a lot smaller and easier to store somewhere."
"7","Actually my husband, Michael wrote review:  I have a family heirloom '34 GE Monitor Top fridge running methly formate as the refrigerant.  I remember the unit running as a beer fridge in the 60's in my parents barn.  by the 70's it was relagated to winter paint storage as my dad said it wouldnt run any more.  Brought the fridge to my house where a friend, an HVAC tech, got it running and porcelain cleaned and painted monitor top  for me. Original compressor works with no leaks.  On/off switch would not work, no biggie thats what electrical  plugs do also.  The temp control would turn the compressor on and off but would not vary temps, compressor would stay on for 2 hours or so and cool down to about 30 F in the box, compressor would not come back on till temp hit around 42 F no matter how much I  tried to regulate the temp control settings.  My HVAC buddy was afraid to try to convert the controls due to the old frail  wiring and lack of knowledge about the antique. Restoration companies want thousands of $$$ to convert these things to modern freon, controls etc.I read and researched  about the Johnson unit and figured if it worked could make this MT a reliable 2nd fridge and working conversation piece.  Since I already had a small investment in it another $75 was worth it to try.  Ordered the unit, delivered in about a week during the Chritmas holiday and I had the unit plugged in to set up the control parameters on Dec. 31st.  on New Years day I  installed unit and passed the probe cable through the door molding to test the product. used a piece on thick pliable plastic tubing around cable as to protect the probe cord when the door closed... the MT door is like a vault door and can do a lot of damge to someting caught in between unlike flimsy modern fridge doors.  Hung the probe taped  about halfway down in the box. MT has very small freezer with no door which is essentally the evaporator, since  am not using for a freezer the original temp probe contacting the outsde of the evaporator/ freezer will be overidden by the Johnson unt.  Also, the MT's do not have fans and doors to move air to cool the fridge box, all done by the heavier denser cold air falling down from the evaporator/freezer. The unit retained the parameters I had set the day before.... delay 12 minutes, cut in at 39 F and  cut out at 35 F.  After the initial cycle the unit holds cold 2-3 hours without cycling on again for 20 - 30 minutes to cut out point.  Ambient basement temp is around 65 F.  Instructions were EASY to follow for with even very little technical training.  This past Saturday I felt comfortable enough to drill a temperature probe sized hole through the back of the MT unit to install the probe the correct way.  Got the probe through the outside steel wall, the insulation and the inside steel (not plastic) wall after two attempts through the barely large enough drilled holes.  Siliconed the openings up outside and inside.  So far all is good.  Not afraid to keep  food, beer, pop etc now in this unit.I know this post is long winded but anyone with an old refigerator from the 20's or 30's etc that needs temp control knows how tough it is too find helpful info.  Hope to make that 80 year old compressor last another 80 years since not straining to maintain 10F in the evaporator/freezer."
"8","This unit can be as simple or as complicated as you want it to be.Me? I wanted it to run an older kegerator that had a faulty temperature control. (Some say you shouldn't use this unit as I am, that repair is preferable. But after talking to a few refrigeration techs, using this to cycle it on and off is no different than having the built-in unit do it.) A few moments with the manual will let you know how to set it up. The set-point is the high-end temp, and the differential can be set from there. It defaults to cut out after the differential is reached. For instance, if the set-point is 40 degrees, and differential is 5, it will kick on at 40, and off at 35, so figure your target temperature within that range.And it's a breeze to tweak until you get it set to where you want it.My only con, and it's a small one, is the somewhat large diameter probe wire. I didn't want to drill into the kegerator, so I ran the wire under the door seal. However, while there was a small leak, some foam from a window AC unit plugged it up easily enough. I could have drilled, sure, but I wanted this unit to run the fgeezer I'll convert to a new kegerator when this one gives up the ghost.It's a great price for a dependable, accurate temp controller."
"9","I use these for control of radiant heat panels in reptile cages. Excellent quality controllers. I purchased the pre-wired model just to save me the job of wiring and having to buy over-priced extension cords from Home Depot, and I am glad I did. They use a nice strain relief on this particular item, and the wiring is done correctly. Note: The unit ships setup for cooling operation, where output is energized until the temp is below the setpoint. If using for heating applications, the unit needs to be opened up and two jumpers need to be moved to bridge two pins each. Very easy to do, and the instructions show where. I have seen comments that say the unit does not work for heating, and it is because the jumper change was not done by the end -user. Great product."
"10","My wife likes her refrigerator complete, no freezer.  When ours started to fail, we found a large upright freezer half-price at Sears.  I installed the temperature probe up through the drainage hole and taped it to the middle of the freezer wall, plugged in the controller, set the temp for 36 degrees F and it has been working just fine as a refrigerator.  The better insulated freezer, and the compressor not working hard, we expect to save on our electric bill.The instructions that come with the controller are meant for electricians and more complicated applications than mine, so I searched here among the reviews and found simple instructions to follow and it's easy.If you want to try this, I totally recommend this Johnson controller, just plug it in, no connections."
